familia_o_par,archivo_1,archivo_2,pilar,similitud_jaccard,estado_umbral,observacion
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-005,JEV-P07-004,JEV-P07-005,P07,0.1609,APROBADO (<0.50),Shingles compartidos: 532 de 3306 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-006,JEV-P07-004,JEV-P07-006,P07,0.1548,APROBADO (<0.50),Shingles compartidos: 530 de 3424 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-007,JEV-P07-004,JEV-P07-007,P07,0.1593,APROBADO (<0.50),Shingles compartidos: 533 de 3346 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-008,JEV-P07-004,JEV-P07-008,P07,0.1573,APROBADO (<0.50),Shingles compartidos: 536 de 3407 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-009,JEV-P07-004,JEV-P07-009,P07,0.1648,APROBADO (<0.50),Shingles compartidos: 540 de 3276 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-010,JEV-P07-004,JEV-P07-010,P07,0.1580,APROBADO (<0.50),Shingles compartidos: 532 de 3367 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-011,JEV-P07-004,JEV-P07-011,P07,0.1601,APROBADO (<0.50),Shingles compartidos: 534 de 3336 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-012,JEV-P07-004,JEV-P07-012,P07,0.1629,APROBADO (<0.50),Shingles compartidos: 539 de 3309 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-013,JEV-P07-004,JEV-P07-013,P07,0.1644,APROBADO (<0.50),Shingles compartidos: 529 de 3217 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-014,JEV-P07-004,JEV-P07-014,P07,0.1580,APROBADO (<0.50),Shingles compartidos: 531 de 3361 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-015,JEV-P07-004,JEV-P07-015,P07,0.1615,APROBADO (<0.50),Shingles compartidos: 539 de 3338 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-016,JEV-P07-004,JEV-P07-016,P07,0.1597,APROBADO (<0.50),Shingles compartidos: 531 de 3325 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-017,JEV-P07-004,JEV-P07-017,P07,0.1571,APROBADO (<0.50),Shingles compartidos: 533 de 3392 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-018,JEV-P07-004,JEV-P07-018,P07,0.1648,APROBADO (<0.50),Shingles compartidos: 531 de 3222 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-019,JEV-P07-004,JEV-P07-019,P07,0.1597,APROBADO (<0.50),Shingles compartidos: 536 de 3356 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-004 vs JEV-P07-020,JEV-P07-004,JEV-P07-020,P07,0.1575,APROBADO (<0.50),Shingles compartidos: 530 de 3366 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-005 vs JEV-P07-006,JEV-P07-005,JEV-P07-006,P07,0.1627,APROBADO (<0.50),Shingles compartidos: 543 de 3337 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-005 vs JEV-P07-007,JEV-P07-005,JEV-P07-007,P07,0.1672,APROBADO (<0.50),Shingles compartidos: 545 de 3260 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-005 vs JEV-P07-008,JEV-P07-005,JEV-P07-008,P07,0.1636,APROBADO (<0.50),Shingles compartidos: 544 de 3325 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-005 vs JEV-P07-009,JEV-P07-005,JEV-P07-009,P07,0.1683,APROBADO (<0.50),Shingles compartidos: 539 de 3203 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-005 vs JEV-P07-010,JEV-P07-005,JEV-P07-010,P07,0.1637,APROBADO (<0.50),Shingles compartidos: 538 de 3287 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-005 vs JEV-P07-011,JEV-P07-005,JEV-P07-011,P07,0.1669,APROBADO (<0.50),Shingles compartidos: 543 de 3253 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-005 vs JEV-P07-012,JEV-P07-005,JEV-P07-012,P07,0.1702,APROBADO (<0.50),Shingles compartidos: 549 de 3225 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-005 vs JEV-P07-013,JEV-P07-005,JEV-P07-013,P07,0.1720,APROBADO (<0.50),Shingles compartidos: 539 de 3133 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-005 vs JEV-P07-014,JEV-P07-005,JEV-P07-014,P07,0.1669,APROBADO (<0.50),Shingles compartidos: 546 de 3272 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-005 vs JEV-P07-015,JEV-P07-005,JEV-P07-015,P07,0.1687,APROBADO (<0.50),Shingles compartidos: 549 de 3254 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-005 vs JEV-P07-016,JEV-P07-005,JEV-P07-016,P07,0.1673,APROBADO (<0.50),Shingles compartidos: 542 de 3240 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-005 vs JEV-P07-017,JEV-P07-005,JEV-P07-017,P07,0.1659,APROBADO (<0.50),Shingles compartidos: 548 de 3303 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-005 vs JEV-P07-018,JEV-P07-005,JEV-P07-018,P07,0.1702,APROBADO (<0.50),Shingles compartidos: 535 de 3144 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-005 vs JEV-P07-019,JEV-P07-005,JEV-P07-019,P07,0.1637,APROBADO (<0.50),Shingles compartidos: 537 de 3281 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-005 vs JEV-P07-020,JEV-P07-005,JEV-P07-020,P07,0.1660,APROBADO (<0.50),Shingles compartidos: 544 de 3278 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-006 vs JEV-P07-007,JEV-P07-006,JEV-P07-007,P07,0.1673,APROBADO (<0.50),Shingles compartidos: 562 de 3359 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-006 vs JEV-P07-008,JEV-P07-006,JEV-P07-008,P07,0.1666,APROBADO (<0.50),Shingles compartidos: 569 de 3416 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-006 vs JEV-P07-009,JEV-P07-006,JEV-P07-009,P07,0.1659,APROBADO (<0.50),Shingles compartidos: 549 de 3309 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-006 vs JEV-P07-010,JEV-P07-006,JEV-P07-010,P07,0.1649,APROBADO (<0.50),Shingles compartidos: 558 de 3383 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-006 vs JEV-P07-011,JEV-P07-006,JEV-P07-011,P07,0.1626,APROBADO (<0.50),Shingles compartidos: 547 de 3365 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-006 vs JEV-P07-012,JEV-P07-006,JEV-P07-012,P07,0.1671,APROBADO (<0.50),Shingles compartidos: 557 de 3333 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-006 vs JEV-P07-013,JEV-P07-006,JEV-P07-013,P07,0.1684,APROBADO (<0.50),Shingles compartidos: 546 de 3242 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-006 vs JEV-P07-014,JEV-P07-006,JEV-P07-014,P07,0.1574,APROBADO (<0.50),Shingles compartidos: 535 de 3399 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-006 vs JEV-P07-015,JEV-P07-006,JEV-P07-015,P07,0.1646,APROBADO (<0.50),Shingles compartidos: 554 de 3365 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-006 vs JEV-P07-016,JEV-P07-006,JEV-P07-016,P07,0.1615,APROBADO (<0.50),Shingles compartidos: 542 de 3356 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-006 vs JEV-P07-017,JEV-P07-006,JEV-P07-017,P07,0.1627,APROBADO (<0.50),Shingles compartidos: 555 de 3412 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-006 vs JEV-P07-018,JEV-P07-006,JEV-P07-018,P07,0.1627,APROBADO (<0.50),Shingles compartidos: 531 de 3264 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-006 vs JEV-P07-019,JEV-P07-006,JEV-P07-019,P07,0.1584,APROBADO (<0.50),Shingles compartidos: 538 de 3396 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-006 vs JEV-P07-020,JEV-P07-006,JEV-P07-020,P07,0.1565,APROBADO (<0.50),Shingles compartidos: 533 de 3405 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-007 vs JEV-P07-008,JEV-P07-007,JEV-P07-008,P07,0.1665,APROBADO (<0.50),Shingles compartidos: 558 de 3352 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-007 vs JEV-P07-009,JEV-P07-007,JEV-P07-009,P07,0.1723,APROBADO (<0.50),Shingles compartidos: 556 de 3227 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-007 vs JEV-P07-010,JEV-P07-007,JEV-P07-010,P07,0.1648,APROBADO (<0.50),Shingles compartidos: 547 de 3319 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-007 vs JEV-P07-011,JEV-P07-007,JEV-P07-011,P07,0.1645,APROBADO (<0.50),Shingles compartidos: 542 de 3295 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-007 vs JEV-P07-012,JEV-P07-007,JEV-P07-012,P07,0.1652,APROBADO (<0.50),Shingles compartidos: 541 de 3274 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-007 vs JEV-P07-013,JEV-P07-007,JEV-P07-013,P07,0.1724,APROBADO (<0.50),Shingles compartidos: 546 de 3167 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-007 vs JEV-P07-014,JEV-P07-007,JEV-P07-014,P07,0.1641,APROBADO (<0.50),Shingles compartidos: 544 de 3315 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-007 vs JEV-P07-015,JEV-P07-007,JEV-P07-015,P07,0.1641,APROBADO (<0.50),Shingles compartidos: 542 de 3302 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-007 vs JEV-P07-016,JEV-P07-007,JEV-P07-016,P07,0.1648,APROBADO (<0.50),Shingles compartidos: 541 de 3282 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-007 vs JEV-P07-017,JEV-P07-007,JEV-P07-017,P07,0.1649,APROBADO (<0.50),Shingles compartidos: 551 de 3341 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-007 vs JEV-P07-018,JEV-P07-007,JEV-P07-018,P07,0.1702,APROBADO (<0.50),Shingles compartidos: 541 de 3179 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-007 vs JEV-P07-019,JEV-P07-007,JEV-P07-019,P07,0.1616,APROBADO (<0.50),Shingles compartidos: 537 de 3322 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-007 vs JEV-P07-020,JEV-P07-007,JEV-P07-020,P07,0.1618,APROBADO (<0.50),Shingles compartidos: 538 de 3325 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-008 vs JEV-P07-009,JEV-P07-008,JEV-P07-009,P07,0.1661,APROBADO (<0.50),Shingles compartidos: 548 de 3299 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-008 vs JEV-P07-010,JEV-P07-008,JEV-P07-010,P07,0.1644,APROBADO (<0.50),Shingles compartidos: 555 de 3375 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-008 vs JEV-P07-011,JEV-P07-008,JEV-P07-011,P07,0.1607,APROBADO (<0.50),Shingles compartidos: 540 de 3361 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-008 vs JEV-P07-012,JEV-P07-008,JEV-P07-012,P07,0.1652,APROBADO (<0.50),Shingles compartidos: 550 de 3329 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-008 vs JEV-P07-013,JEV-P07-008,JEV-P07-013,P07,0.1693,APROBADO (<0.50),Shingles compartidos: 547 de 3230 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-008 vs JEV-P07-014,JEV-P07-008,JEV-P07-014,P07,0.1593,APROBADO (<0.50),Shingles compartidos: 539 de 3384 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-008 vs JEV-P07-015,JEV-P07-008,JEV-P07-015,P07,0.1593,APROBADO (<0.50),Shingles compartidos: 537 de 3371 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-008 vs JEV-P07-016,JEV-P07-008,JEV-P07-016,P07,0.1634,APROBADO (<0.50),Shingles compartidos: 546 de 3341 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-008 vs JEV-P07-017,JEV-P07-008,JEV-P07-017,P07,0.1622,APROBADO (<0.50),Shingles compartidos: 552 de 3404 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-008 vs JEV-P07-018,JEV-P07-008,JEV-P07-018,P07,0.1643,APROBADO (<0.50),Shingles compartidos: 534 de 3250 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-008 vs JEV-P07-019,JEV-P07-008,JEV-P07-019,P07,0.1620,APROBADO (<0.50),Shingles compartidos: 547 de 3376 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-008 vs JEV-P07-020,JEV-P07-008,JEV-P07-020,P07,0.1618,APROBADO (<0.50),Shingles compartidos: 547 de 3380 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-009 vs JEV-P07-010,JEV-P07-009,JEV-P07-010,P07,0.1694,APROBADO (<0.50),Shingles compartidos: 551 de 3252 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-009 vs JEV-P07-011,JEV-P07-009,JEV-P07-011,P07,0.1691,APROBADO (<0.50),Shingles compartidos: 546 de 3228 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-009 vs JEV-P07-012,JEV-P07-009,JEV-P07-012,P07,0.1754,APROBADO (<0.50),Shingles compartidos: 560 de 3192 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-009 vs JEV-P07-013,JEV-P07-009,JEV-P07-013,P07,0.1721,APROBADO (<0.50),Shingles compartidos: 536 de 3114 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-009 vs JEV-P07-014,JEV-P07-009,JEV-P07-014,P07,0.1676,APROBADO (<0.50),Shingles compartidos: 545 de 3251 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-009 vs JEV-P07-015,JEV-P07-009,JEV-P07-015,P07,0.1684,APROBADO (<0.50),Shingles compartidos: 545 de 3236 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-009 vs JEV-P07-016,JEV-P07-009,JEV-P07-016,P07,0.1663,APROBADO (<0.50),Shingles compartidos: 536 de 3224 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-009 vs JEV-P07-017,JEV-P07-009,JEV-P07-017,P07,0.1656,APROBADO (<0.50),Shingles compartidos: 544 de 3285 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-009 vs JEV-P07-018,JEV-P07-009,JEV-P07-018,P07,0.1721,APROBADO (<0.50),Shingles compartidos: 537 de 3120 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-009 vs JEV-P07-019,JEV-P07-009,JEV-P07-019,P07,0.1626,APROBADO (<0.50),Shingles compartidos: 531 de 3265 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-009 vs JEV-P07-020,JEV-P07-009,JEV-P07-020,P07,0.1646,APROBADO (<0.50),Shingles compartidos: 537 de 3263 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-010 vs JEV-P07-011,JEV-P07-010,JEV-P07-011,P07,0.1639,APROBADO (<0.50),Shingles compartidos: 543 de 3314 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-010 vs JEV-P07-012,JEV-P07-010,JEV-P07-012,P07,0.1692,APROBADO (<0.50),Shingles compartidos: 555 de 3280 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-010 vs JEV-P07-013,JEV-P07-010,JEV-P07-013,P07,0.1680,APROBADO (<0.50),Shingles compartidos: 537 de 3196 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-010 vs JEV-P07-014,JEV-P07-010,JEV-P07-014,P07,0.1603,APROBADO (<0.50),Shingles compartidos: 536 de 3343 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-010 vs JEV-P07-015,JEV-P07-010,JEV-P07-015,P07,0.1635,APROBADO (<0.50),Shingles compartidos: 543 de 3321 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-010 vs JEV-P07-016,JEV-P07-010,JEV-P07-016,P07,0.1621,APROBADO (<0.50),Shingles compartidos: 536 de 3307 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-010 vs JEV-P07-017,JEV-P07-010,JEV-P07-017,P07,0.1619,APROBADO (<0.50),Shingles compartidos: 545 de 3367 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-010 vs JEV-P07-018,JEV-P07-010,JEV-P07-018,P07,0.1644,APROBADO (<0.50),Shingles compartidos: 528 de 3212 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-010 vs JEV-P07-019,JEV-P07-010,JEV-P07-019,P07,0.1589,APROBADO (<0.50),Shingles compartidos: 532 de 3347 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-010 vs JEV-P07-020,JEV-P07-010,JEV-P07-020,P07,0.1615,APROBADO (<0.50),Shingles compartidos: 540 de 3343 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-011 vs JEV-P07-012,JEV-P07-011,JEV-P07-012,P07,0.1696,APROBADO (<0.50),Shingles compartidos: 552 de 3254 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-011 vs JEV-P07-013,JEV-P07-011,JEV-P07-013,P07,0.1685,APROBADO (<0.50),Shingles compartidos: 534 de 3170 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-011 vs JEV-P07-014,JEV-P07-011,JEV-P07-014,P07,0.1635,APROBADO (<0.50),Shingles compartidos: 541 de 3309 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-011 vs JEV-P07-015,JEV-P07-011,JEV-P07-015,P07,0.1681,APROBADO (<0.50),Shingles compartidos: 552 de 3283 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-011 vs JEV-P07-016,JEV-P07-011,JEV-P07-016,P07,0.1642,APROBADO (<0.50),Shingles compartidos: 538 de 3276 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-011 vs JEV-P07-017,JEV-P07-011,JEV-P07-017,P07,0.1657,APROBADO (<0.50),Shingles compartidos: 552 de 3331 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-011 vs JEV-P07-018,JEV-P07-011,JEV-P07-018,P07,0.1714,APROBADO (<0.50),Shingles compartidos: 543 de 3168 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-011 vs JEV-P07-019,JEV-P07-011,JEV-P07-019,P07,0.1645,APROBADO (<0.50),Shingles compartidos: 544 de 3306 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-011 vs JEV-P07-020,JEV-P07-011,JEV-P07-020,P07,0.1636,APROBADO (<0.50),Shingles compartidos: 542 de 3312 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-012 vs JEV-P07-013,JEV-P07-012,JEV-P07-013,P07,0.1704,APROBADO (<0.50),Shingles compartidos: 536 de 3146 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-012 vs JEV-P07-014,JEV-P07-012,JEV-P07-014,P07,0.1685,APROBADO (<0.50),Shingles compartidos: 552 de 3276 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-012 vs JEV-P07-015,JEV-P07-012,JEV-P07-015,P07,0.1678,APROBADO (<0.50),Shingles compartidos: 548 de 3265 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-012 vs JEV-P07-016,JEV-P07-012,JEV-P07-016,P07,0.1646,APROBADO (<0.50),Shingles compartidos: 536 de 3256 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-012 vs JEV-P07-017,JEV-P07-012,JEV-P07-017,P07,0.1675,APROBADO (<0.50),Shingles compartidos: 554 de 3307 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-012 vs JEV-P07-018,JEV-P07-012,JEV-P07-018,P07,0.1696,APROBADO (<0.50),Shingles compartidos: 535 de 3154 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-012 vs JEV-P07-019,JEV-P07-012,JEV-P07-019,P07,0.1646,APROBADO (<0.50),Shingles compartidos: 541 de 3287 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-012 vs JEV-P07-020,JEV-P07-012,JEV-P07-020,P07,0.1630,APROBADO (<0.50),Shingles compartidos: 537 de 3295 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-013 vs JEV-P07-014,JEV-P07-013,JEV-P07-014,P07,0.1680,APROBADO (<0.50),Shingles compartidos: 536 de 3190 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-013 vs JEV-P07-015,JEV-P07-013,JEV-P07-015,P07,0.1688,APROBADO (<0.50),Shingles compartidos: 536 de 3175 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-013 vs JEV-P07-016,JEV-P07-013,JEV-P07-016,P07,0.1699,APROBADO (<0.50),Shingles compartidos: 536 de 3154 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-013 vs JEV-P07-017,JEV-P07-013,JEV-P07-017,P07,0.1681,APROBADO (<0.50),Shingles compartidos: 541 de 3218 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-013 vs JEV-P07-018,JEV-P07-013,JEV-P07-018,P07,0.1730,APROBADO (<0.50),Shingles compartidos: 529 de 3058 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-013 vs JEV-P07-019,JEV-P07-013,JEV-P07-019,P07,0.1673,APROBADO (<0.50),Shingles compartidos: 534 de 3192 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-013 vs JEV-P07-020,JEV-P07-013,JEV-P07-020,P07,0.1660,APROBADO (<0.50),Shingles compartidos: 531 de 3199 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-014 vs JEV-P07-015,JEV-P07-014,JEV-P07-015,P07,0.1635,APROBADO (<0.50),Shingles compartidos: 542 de 3315 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-014 vs JEV-P07-016,JEV-P07-014,JEV-P07-016,P07,0.1607,APROBADO (<0.50),Shingles compartidos: 531 de 3305 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-014 vs JEV-P07-017,JEV-P07-014,JEV-P07-017,P07,0.1608,APROBADO (<0.50),Shingles compartidos: 541 de 3364 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-014 vs JEV-P07-018,JEV-P07-014,JEV-P07-018,P07,0.1695,APROBADO (<0.50),Shingles compartidos: 541 de 3192 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-014 vs JEV-P07-019,JEV-P07-014,JEV-P07-019,P07,0.1596,APROBADO (<0.50),Shingles compartidos: 533 de 3339 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-014 vs JEV-P07-020,JEV-P07-014,JEV-P07-020,P07,0.1629,APROBADO (<0.50),Shingles compartidos: 543 de 3333 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-015 vs JEV-P07-016,JEV-P07-015,JEV-P07-016,P07,0.1632,APROBADO (<0.50),Shingles compartidos: 536 de 3285 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-015 vs JEV-P07-017,JEV-P07-015,JEV-P07-017,P07,0.1622,APROBADO (<0.50),Shingles compartidos: 543 de 3347 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-015 vs JEV-P07-018,JEV-P07-015,JEV-P07-018,P07,0.1684,APROBADO (<0.50),Shingles compartidos: 536 de 3182 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-015 vs JEV-P07-019,JEV-P07-015,JEV-P07-019,P07,0.1617,APROBADO (<0.50),Shingles compartidos: 537 de 3320 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-015 vs JEV-P07-020,JEV-P07-015,JEV-P07-020,P07,0.1616,APROBADO (<0.50),Shingles compartidos: 537 de 3324 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-016 vs JEV-P07-017,JEV-P07-016,JEV-P07-017,P07,0.1629,APROBADO (<0.50),Shingles compartidos: 542 de 3327 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-016 vs JEV-P07-018,JEV-P07-016,JEV-P07-018,P07,0.1718,APROBADO (<0.50),Shingles compartidos: 542 de 3155 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-016 vs JEV-P07-019,JEV-P07-016,JEV-P07-019,P07,0.1692,APROBADO (<0.50),Shingles compartidos: 555 de 3281 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-016 vs JEV-P07-020,JEV-P07-016,JEV-P07-020,P07,0.1619,APROBADO (<0.50),Shingles compartidos: 535 de 3305 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-017 vs JEV-P07-018,JEV-P07-017,JEV-P07-018,P07,0.1692,APROBADO (<0.50),Shingles compartidos: 545 de 3221 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-017 vs JEV-P07-019,JEV-P07-017,JEV-P07-019,P07,0.1646,APROBADO (<0.50),Shingles compartidos: 552 de 3353 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-017 vs JEV-P07-020,JEV-P07-017,JEV-P07-020,P07,0.1586,APROBADO (<0.50),Shingles compartidos: 535 de 3374 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-018 vs JEV-P07-019,JEV-P07-018,JEV-P07-019,P07,0.1684,APROBADO (<0.50),Shingles compartidos: 538 de 3195 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-018 vs JEV-P07-020,JEV-P07-018,JEV-P07-020,P07,0.1685,APROBADO (<0.50),Shingles compartidos: 539 de 3198 totales en ventana 5-gram.
Par intra-pilar P07: JEV-P07-019 vs JEV-P07-020,JEV-P07-019,JEV-P07-020,P07,0.1581,APROBADO (<0.50),Shingles compartidos: 529 de 3347 totales en ventana 5-gram.
Par intra-pilar P08: JEV-P08-001 vs JEV-P08-002,JEV-P08-001,JEV-P08-002,P08,0.4356,APROBADO (<0.50),Shingles compartidos: 301 de 691 totales en ventana 5-gram.
Par intra-pilar P08: JEV-P08-001 vs JEV-P08-003,JEV-P08-001,JEV-P08-003,P08,0.4317,APROBADO (<0.50),Shingles compartidos: 300 de 695 totales en ventana 5-gram.
Par intra-pilar P08: JEV-P08-001 vs JEV-P08-004,JEV-P08-001,JEV-P08-004,P08,0.4304,APROBADO (<0.50),Shingles compartidos: 300 de 697 totales en ventana 5-gram.
Par intra-pilar P08: JEV-P08-001 vs JEV-P08-005,JEV-P08-001,JEV-P08-005,P08,0.4402,APROBADO (<0.50),Shingles compartidos: 302 de 686 totales en ventana 5-gram.
Par intra-pilar P08: JEV-P08-001 vs JEV-P08-006,JEV-P08-001,JEV-P08-006,P08,0.4255,APROBADO (<0.50),Shingles compartidos: 297 de 698 totales en ventana 5-gram.
Par intra-pilar P08: JEV-P08-001 vs JEV-P08-007,JEV-P08-001,JEV-P08-007,P08,0.4329,APROBADO (<0.50),Shingles compartidos: 300 de 693 totales en ventana 5-gram.
